epoch,batch,train_loss,val_top1,val_top5,val_balanced,val_f1,val_loss,learning_rate,temperature,grad_norm
21,320,0.572026,,,,,,9.84e-04,0.0050,0.0
21,340,0.523558,,,,,,9.84e-04,0.0050,0.0
21,360,0.524859,,,,,,9.84e-04,0.0050,0.0
21,380,0.508073,,,,,,9.84e-04,0.0050,0.0
21,-1,0.507254,0.841253,0.969006,0.814093,0.803814,0.877585,,,,
22,20,0.505411,,,,,,9.83e-04,0.0050,0.0
22,40,0.480729,,,,,,9.83e-04,0.0050,0.0
22,60,0.521658,,,,,,9.83e-04,0.0050,0.0
22,80,0.493104,,,,,,9.83e-04,0.0050,0.0
22,100,0.483777,,,,,,9.83e-04,0.0050,0.0
22,120,0.513942,,,,,,9.83e-04,0.0050,0.0
22,140,0.496414,,,,,,9.83e-04,0.0050,0.0
22,160,0.497777,,,,,,9.83e-04,0.0050,0.0
22,180,0.464112,,,,,,9.83e-04,0.0050,0.0
22,200,0.476889,,,,,,9.82e-04,0.0050,0.0
22,220,0.481021,,,,,,9.82e-04,0.0050,0.0
22,240,0.504032,,,,,,9.82e-04,0.0050,0.0
22,260,0.469205,,,,,,9.82e-04,0.0050,0.0
22,280,0.473013,,,,,,9.82e-04,0.0050,0.0
22,300,0.473183,,,,,,9.82e-04,0.0050,0.0
22,320,0.468636,,,,,,9.82e-04,0.0050,0.0
22,340,0.492854,,,,,,9.82e-04,0.0050,0.0
22,360,0.521601,,,,,,9.81e-04,0.0050,0.0
22,380,0.534796,,,,,,9.81e-04,0.0050,0.0
22,-1,0.497552,0.843878,0.968942,0.816590,0.808745,0.870910,,,,
23,20,0.486218,,,,,,9.81e-04,0.0050,0.0
23,40,0.438432,,,,,,9.81e-04,0.0050,0.0
23,60,0.522848,,,,,,9.81e-04,0.0050,0.0
23,80,0.532245,,,,,,9.81e-04,0.0050,0.0
23,100,0.484404,,,,,,9.81e-04,0.0050,0.0
23,120,0.472854,,,,,,9.81e-04,0.0050,0.0
23,140,0.496235,,,,,,9.81e-04,0.0050,0.0
23,160,0.508449,,,,,,9.80e-04,0.0050,0.0
23,180,0.481791,,,,,,9.80e-04,0.0050,0.0
